gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
WBGene00003677	Y41D4B.7.1	1177.00	1032.85	21.00	0.85	1.00
WBGene00003678	K08A2.5a.1,K08A2.5a.2,K08A2.5c.1	2224.71	2080.56	363.00	7.32	8.57
WBGene00003679	E03H4.13.1	993.00	848.85	0.00	0.00	0.00
WBGene00003680	ZK488.2.1	1251.00	1106.85	53.00	2.01	2.35
WBGene00003681	Y15E3A.1a.1,Y15E3A.1a.2,Y15E3A.1a.3,Y15E3A.1b.1,Y15E3A.1b.2	1858.00	1713.85	41.00	1.00	1.17
WBGene00003682	Y41D4B.8.1	1196.00	1051.85	75.96	3.03	3.55
WBGene00003683	T24A6.9a.1,T24A6.9b.1,T24A6.9c.1,T24A6.9d	1301.00	1156.85	5.00	0.18	0.21
WBGene00003684	C12D5.8a.1,C12D5.8a.2,C12D5.8b.1,C12D5.8b.2	1225.23	1081.08	40.00	1.55	1.82
WBGene00003685	Y39B6A.17a.1,Y39B6A.17b.1	1641.19	1497.04	90.00	2.52	2.95
WBGene00003686	F44C8.11.1	1256.00	1111.85	78.00	2.94	3.44
WBGene00003687	H27C11.1a.1,H27C11.1a.2,H27C11.1b.1,H27C11.1b.2	2169.93	2025.78	911.00	18.88	22.08
WBGene00003688	M02H5.6a.1,M02H5.6b,M02H5.6c.1,M02H5.6c.2,M02H5.6d.1	1013.23	869.35	42.00	2.03	2.37
WBGene00003689	M02H5.1.1	1340.00	1195.85	73.00	2.56	3.00
WBGene00003690	C28D4.1.1,C28D4.1.2	1388.42	1244.27	355.00	11.98	14.01
WBGene00003691	H12C20.6a.1,H12C20.6a.2,H12C20.6b	1225.33	1081.18	267.00	10.37	12.12
WBGene00003692	T06C12.6.1	1367.00	1222.85	91.00	3.12	3.65
WBGene00003693	F44C8.4.1	1213.00	1068.85	44.00	1.73	2.02
WBGene00003694	R11E3.5a.1,R11E3.5b.1,R11E3.5c.1,R11E3.5d.1	1320.87	1176.72	257.00	9.17	10.72
WBGene00003695	C06G3.1a.1,C06G3.1b.1	1371.55	1227.40	655.00	22.40	26.20
WBGene00003696	T01G6.4.1	1256.00	1111.85	39.00	1.47	1.72
WBGene00003697	C33G8.11.1	1142.00	997.85	111.00	4.67	5.46
WBGene00003698	F35E8.12.1,F35E8.12.2	1254.00	1109.85	16.00	0.61	0.71
WBGene00003699	T12C9.5a.1,T12C9.5a.2,T12C9.5a.3,T12C9.5a.4,T12C9.5a.5,T12C9.5b.1,T12C9.5c.1	1170.50	1026.35	94.00	3.84	4.50
WBGene00003700	Y46H3D.5a.1,Y46H3D.5a.2,Y46H3D.5b.1	1524.19	1380.04	90.00	2.74	3.20
WBGene00003701	F44G3.9.1	1154.00	1009.85	0.00	0.00	0.00
WBGene00003702	Y70C5C.6.1	1138.00	993.85	27.00	1.14	1.33
WBGene00003703	ZK1025.9.1	1129.00	984.85	13.00	0.55	0.65
WBGene00003704	Y45G5AM.1a.1,Y45G5AM.1b,Y45G5AM.1c,Y45G5AM.1d.1	1409.86	1265.71	914.00	30.31	35.45
WBGene00003705	T27B7.4a.1,T27B7.4b.1	1296.00	1151.85	78.00	2.84	3.32
WBGene00003706	F09C6.9.1	1428.00	1283.85	32.00	1.05	1.22
WBGene00003707	F16B4.12a.1,F16B4.12b.1,F16B4.12c	1438.87	1294.72	169.00	5.48	6.41
WBGene00003708	F13A2.8.1	1092.00	947.85	0.00	0.00	0.00
WBGene00003709	K12H6.1.1	3214.00	3069.85	148.00	2.02	2.37
WBGene00003710	C25B8.6.1	1682.00	1537.85	118.00	3.22	3.77
WBGene00003711	E02H9.8a.1,E02H9.8b.1	1499.10	1354.94	140.00	4.34	5.07
WBGene00003712	Y41D4B.9.1	1174.00	1029.85	162.00	6.60	7.72
WBGene00003713	M02H5.7.1	1351.00	1206.85	17.00	0.59	0.69
WBGene00003714	C17E7.8a.1,C17E7.8b.1	1177.00	1032.85	5.00	0.20	0.24
WBGene00003715	R02D1.1a.1,R02D1.1b.1	1344.00	1199.85	18.00	0.63	0.74
WBGene00003716	F44C8.10.1	1459.00	1314.85	54.00	1.72	2.02
WBGene00003717	T13F3.3.1,T13F3.3.2	1778.00	1633.85	2.00	0.05	0.06
WBGene00003718	F44C8.5a,F44C8.5b.1,F44C8.5b.2	1449.58	1305.43	56.00	1.80	2.11
WBGene00003719	C50B6.14.1	1368.00	1223.85	30.00	1.03	1.20
WBGene00003720	T01G6.8.1	1402.00	1257.85	195.00	6.51	7.61
WBGene00003721	T01G6.2a.1,T01G6.2b.1	1389.40	1245.25	98.00	3.30	3.86
WBGene00003722	R11G11.1.1	1354.00	1209.85	112.00	3.89	4.54
WBGene00003723	F44C8.8a.1,F44C8.8b	1304.00	1159.85	83.00	3.00	3.51
WBGene00003724	F44C8.2.1	1273.00	1128.85	126.00	4.69	5.48
WBGene00003725	VC5.5.1	1222.00	1077.85	96.00	3.74	4.37
WBGene00003726	C13C4.3a.1,C13C4.3b.1	1610.77	1466.61	73.00	2.09	2.44
WBGene00003727	C56E10.4a.1,C56E10.4b.1,C56E10.4c.1	1280.22	1136.07	402.00	14.85	17.37
WBGene00003728	C28D4.9.1	1558.00	1413.85	360.00	10.69	12.50
WBGene00003729	B0395.1.1,B0395.1.2	1866.41	1722.25	50.00	1.22	1.43
WBGene00003730	B0495.4.1	2054.00	1909.85	924.00	20.31	23.75
WBGene00003731	C54F6.13a.1,C54F6.13a.2,C54F6.13b.1	2100.72	1956.57	169.00	3.63	4.24
WBGene00003732	F14B8.1a.1,F14B8.1b.1	2966.00	2821.85	97.00	1.44	1.69
WBGene00003733	F57C7.2a.1,F57C7.2b.1,F57C7.2b.2,F57C7.2b.3	2425.35	2281.19	318.00	5.85	6.84
WBGene00003734	F58E1.6a.1,F58E1.6b.1	2001.00	1856.85	16.00	0.36	0.42
WBGene00003735	Y18D10A.6a.1,Y18D10A.6b.1	2707.27	2563.11	394.00	6.45	7.55
WBGene00003736	ZK822.3a.1,ZK822.3b.1,ZK822.3c.1	2093.21	1949.05	138.00	2.97	3.48
WBGene00003738	F54F3.1a.1,F54F3.1b.1,F54F3.1c.1	4143.49	3999.34	2588.00	27.16	31.77
WBGene00003739	C01C4.1.1	710.00	565.85	76.00	5.64	6.59
WBGene00003740	T24D8.5.1	709.00	564.85	4.00	0.30	0.35
WBGene00003741	F48C11.3.1	519.00	374.85	120.00	13.44	15.72
WBGene00003742	F59C6.6.1	639.00	494.85	41.00	3.48	4.07
WBGene00003743	F35C11.1.1,F35C11.1.2	516.00	371.85	18.00	2.03	2.38
WBGene00003744	T23E7.4a.1,T23E7.4b.1,T23E7.4b.2	613.47	469.32	94.00	8.41	9.83
WBGene00003745	F18E9.2a.1,F18E9.2b.1	489.00	344.86	88.00	10.71	12.53
WBGene00003746	D2005.2.1	842.00	697.85	46.00	2.77	3.24
WBGene00003747	E03D2.2a.1,E03D2.2b.1	711.76	567.61	82.00	6.06	7.09
WBGene00003748	F37A8.4.1	636.00	491.85	137.00	11.69	13.67
WBGene00003749	ZK1320.10.1	639.00	494.85	113.00	9.59	11.21
WBGene00003750	M01D7.5.1	440.00	295.88	47.00	6.67	7.80
WBGene00003751	E03D2.1.1	747.00	602.85	132.00	9.19	10.75
WBGene00003752	D1009.4.1	1024.00	879.85	98.00	4.68	5.47
WBGene00003753	CC4.2.1	743.00	598.85	117.00	8.20	9.59
WBGene00003754	T13A10.5a.1,T13A10.5b.1	1266.78	1122.63	172.00	6.43	7.52
WBGene00003755	Y45F10A.5.1	434.00	289.89	48.00	6.95	8.13
WBGene00003756	F33A8.2.1	527.00	382.85	55.00	6.03	7.05
WBGene00003757	K09C8.6.1	419.00	274.91	8.00	1.22	1.43
WBGene00003758	F45E4.8.1	477.00	332.86	105.00	13.24	15.49
WBGene00003759	Y47D3B.2a.1,Y47D3B.2b.1	758.40	614.24	134.00	9.16	10.71
WBGene00003760	T24D8.3.1	334.00	190.27	0.00	0.00	0.00
WBGene00003761	T24D8.4.1	502.00	357.86	2.00	0.23	0.27
WBGene00003762	F35B12.7.1	377.00	233.00	1151.00	207.35	242.51
WBGene00003763	Y43F8C.1.1	1668.00	1523.85	4.00	0.11	0.13
WBGene00003764	Y43F8C.2.1	390.00	245.96	158.00	26.96	31.54
WBGene00003765	B0213.2.1	316.00	172.50	707.00	172.04	201.22
WBGene00003766	B0213.3.1	335.00	191.26	586.00	128.61	150.41
WBGene00003767	B0213.4.1	354.00	210.11	380.00	75.91	88.79
WBGene00003768	B0213.5.1	714.00	569.85	30.00	2.21	2.58
WBGene00003769	B0213.6.1	451.00	306.88	163.00	22.30	26.08
WBGene00003770	F30H5.2.1	387.00	242.97	0.00	0.00	0.00
WBGene00003771	T19C4.7.1	344.00	200.18	294.00	61.65	72.10
WBGene00003772	F20B10.1.1	3692.00	3547.85	190.00	2.25	2.63
WBGene00003773	ZK892.2.1	467.00	322.87	760.00	98.81	115.56
WBGene00003774	F07F6.6.1	3157.00	3012.85	19.00	0.26	0.31
WBGene00003775	T01C3.10a.1,T01C3.10b.1	2836.26	2692.10	11.00	0.17	0.20
WBGene00003776	F52B10.1a.1,F52B10.1b.1	6402.19	6258.04	6301.00	42.26	49.43
WBGene00003777	F20G4.3.1	6494.00	6349.85	30318.00	200.42	234.40
WBGene00003778	C15H9.1.1	3241.00	3096.85	114.00	1.55	1.81
WBGene00003779	Y75B8A.2a.1,Y75B8A.2b.1,Y75B8A.2c	622.30	479.05	58.00	5.08	5.94
WBGene00003783	R03D7.7.1	1223.00	1078.85	1349.00	52.49	61.39
WBGene00003784	ZK1127.1.1	1242.00	1097.85	3430.55	131.17	153.41
WBGene00003785	Y53C12B.3a.1,Y53C12B.3b.1	3229.84	3085.69	1610.00	21.90	25.62
WBGene00003786	VC5.3a.1,VC5.3b.1,VC5.3b.2,VC5.3b.3,VC5.3b.4,VC5.3b.5,VC5.3b.6,VC5.3b.7,VC5.3b.8	3593.00	3448.84	12517.00	152.34	178.18
WBGene00003787	K07F5.13a.1,K07F5.13b.1,K07F5.13c.1	2115.35	1971.19	3198.00	68.10	79.65
WBGene00003788	T01G9.4.1	1904.00	1759.85	4633.00	110.51	129.24
WBGene00003789	K12D12.2.1	5443.00	5298.85	6165.36	48.84	57.12
WBGene00003790	Y54E5A.4.1	1807.00	1662.85	1614.00	40.74	47.65
WBGene00003791	F07A11.3.1	2604.00	2459.85	3787.00	64.62	75.58
WBGene00003792	F56A3.3a.1,F56A3.3a.2,F56A3.3b.1	4766.66	4622.51	8377.00	76.07	88.97
WBGene00003793	T19B4.2.1	4468.00	4323.85	6041.00	58.65	68.59
WBGene00003794	Y41D4B.19a.1,Y41D4B.19b.1,Y41D4B.19c.1	4418.44	4274.29	3274.26	32.15	37.61
WBGene00003795	F59A2.1a.1,F59A2.1a.2,F59A2.1b.1	2965.37	2821.21	12157.00	180.88	211.55
WBGene00003796	ZK328.5a.1,ZK328.5b.1,ZK328.5c.1	4405.19	4261.03	13424.00	132.24	154.66
WBGene00003797	F53F10.5.1	2595.00	2450.85	3241.00	55.51	64.92
WBGene00003798	T23H2.1.1	5929.00	5784.85	9516.28	69.05	80.76
WBGene00003799	Y37E3.15a.1,Y37E3.15b,Y37E3.15c.1	2493.11	2348.96	3055.00	54.59	63.85
WBGene00003800	C03D6.4.1	4342.00	4197.85	8935.00	89.34	104.49
WBGene00003801	C29E4.4.1	3629.00	3484.85	5784.00	69.67	81.48
WBGene00003802	Y56A3A.17.1	1618.00	1473.85	2196.00	62.54	73.15
WBGene00003803	F10G8.3.1,F10G8.3.2	1489.67	1345.51	3436.00	107.19	125.37
WBGene00003804	Y43F4B.4.1	1303.00	1158.85	1308.00	47.38	55.41
WBGene00003805	R06F6.5a.1,R06F6.5b.1	1388.16	1244.01	1702.00	57.43	67.17
WBGene00003806	Y77E11A.13a.1,Y77E11A.13b.1	1140.12	995.97	1342.00	56.56	66.15
WBGene00003807	C39E6.6.1	1497.00	1352.85	11.00	0.34	0.40
WBGene00003808	T05A1.1a.1,T05A1.1b.1,T05A1.1b.2,T05A1.1c.1	1428.77	1284.62	24.00	0.78	0.92
WBGene00003812	F55B12.5.1	1740.00	1595.85	1278.00	33.62	39.32
WBGene00003813	C08B11.4.1	2574.00	2429.85	2662.00	45.99	53.78
WBGene00003815	F22D6.3a.1,F22D6.3b	1803.00	1658.85	6137.00	155.29	181.62
WBGene00003816	F25G6.6.1	2132.00	1987.85	37.00	0.78	0.91
WBGene00003818	H15N14.2a.1,H15N14.2b.1	2787.87	2643.71	4083.00	64.83	75.82
WBGene00003821	K01C8.9.1	1811.00	1666.85	6892.00	173.56	202.99
WBGene00003822	F59A6.1a.1,F59A6.1b.1	4995.29	4851.14	914.00	7.91	9.25
WBGene00003825	B0286.4a.1,B0286.4b.1,B0286.4c.1,B0286.4c.2,B0286.4c.3,B0286.4c.4,B0286.4c.5,B0286.4c.6,B0286.4c.7,B0286.4c.8,B0286.4c.9,B0286.4d.1	1397.23	1253.08	841.00	28.17	32.95
WBGene00003826	Y56A3A.1a.1,Y56A3A.1b.1	2536.03	2391.87	1441.00	25.29	29.58
WBGene00003827	C49H3.5a.1,C49H3.5b,C49H3.5c.1,C49H3.5d.1,C49H3.5e.1	3317.63	3173.47	2688.00	35.55	41.58
WBGene00003828	C07B5.5.1	1249.00	1104.85	1848.00	70.21	82.12
WBGene00003829	F53A2.4.1	1035.00	890.85	2758.00	129.95	151.99
WBGene00003830	T03D8.1a.1,T03D8.1b.1,T03D8.1c.1,T03D8.1d.1,T03D8.1e.1	1891.42	1747.27	335.00	8.05	9.41
WBGene00003831	C09H10.3.1	1605.00	1460.85	6816.00	195.85	229.06
WBGene00003834	C15H11.3.1	2804.00	2659.85	2928.00	46.21	54.04
WBGene00003835	C15H11.6.1	1481.00	1336.85	1296.00	40.69	47.59
WBGene00003836	Y71F9AM.5a.1,Y71F9AM.5b.1	533.74	389.60	936.00	100.85	117.95
WBGene00003837	T01B11.7.1	1685.00	1540.85	181.00	4.93	5.77
WBGene00003838	F28H7.10a.1,F28H7.10b.1	2689.00	2544.85	6.00	0.10	0.12
WBGene00003839	T09A12.3a.1,T09A12.3b.1	1926.53	1782.38	28.00	0.66	0.77
WBGene00003840	T10B10.7.1	2537.00	2392.85	15.00	0.26	0.31
WBGene00003841	Y40C5A.2.1	2390.00	2245.85	6.00	0.11	0.13
WBGene00003842	F52F12.1a.1,F52F12.1b.1	1888.93	1744.78	69.00	1.66	1.94
WBGene00003843	ZK455.8a.1,ZK455.8b.1	2260.95	2116.80	152.00	3.01	3.53
WBGene00003844	K11C4.4.1	1580.00	1435.85	578.00	16.90	19.76
WBGene00003845	B0280.4.1	1197.00	1052.85	34.00	1.36	1.59
WBGene00003846	C34H3.2.1	1075.00	930.85	37.00	1.67	1.95
WBGene00003847	F25D7.3a.1,F25D7.3b.1	3433.32	3289.16	110.00	1.40	1.64
WBGene00003848	R01E6.1.1	3403.00	3258.85	8.00	0.10	0.12
WBGene00003849	T01C4.2a.1,T01C4.2b.1,T01C4.2c.1	910.34	766.19	15.00	0.82	0.96
WBGene00003850	C34D1.3.1	1632.00	1487.85	23.00	0.65	0.76
WBGene00003851	Y102E9.1a.1,Y102E9.1a.2,Y102E9.1a.3,Y102E9.1a.4,Y102E9.1b.1,Y102E9.1c.1	1446.91	1302.76	1344.00	43.30	50.65
WBGene00003854	T18D3.2.1	1482.00	1337.85	2.00	0.06	0.07
WBGene00003856	C53B7.5.1	1111.00	966.85	8.00	0.35	0.41
WBGene00003858	K04G7.3a.1,K04G7.3b.1	4027.82	3883.66	4453.00	48.13	56.29
WBGene00003859	C09E7.3.1	500.00	355.86	17.00	2.01	2.35
WBGene00003860	Y38F1A.9.1	374.00	230.01	412.00	75.19	87.94
WBGene00003861	Y50E8A.3.1	512.00	367.86	62.00	7.07	8.27
WBGene00003862	C08H9.5.1	1730.00	1585.85	8.00	0.21	0.25
WBGene00003863	ZK938.5.1	1497.00	1352.85	0.00	0.00	0.00
WBGene00003864	C09G9.6.1	1801.00	1656.85	3387.00	85.81	100.36
WBGene00003865	ZC513.6.1	1546.00	1401.85	3750.00	112.29	131.33
WBGene00003868	B0334.11a.1,B0334.11b.1	1635.08	1490.93	1659.00	46.71	54.63
WBGene00003870	C18E9.11a.1,C18E9.11b.1	1204.01	1059.86	2353.00	93.19	108.99
WBGene00003876	C06G8.2.1	2526.00	2381.85	408.00	7.19	8.41
WBGene00003877	K04E7.2.1	2795.00	2650.85	1058.00	16.75	19.59
WBGene00003878	F56F4.5.1	2441.00	2296.85	191.00	3.49	4.08
WBGene00003879	F57H12.3.1	779.00	634.85	12.00	0.79	0.93
WBGene00003882	F59E10.1.1	1665.00	1520.85	1005.00	27.74	32.44
WBGene00003883	T27B1.1.1	6024.00	5879.85	314.00	2.24	2.62
WBGene00003884	M02B7.3a.1,M02B7.3a.2,M02B7.3a.3,M02B7.3b.1	2617.24	2473.09	110.46	1.87	2.19
WBGene00003885	Y41G9A.1.1	2605.00	2460.85	18.00	0.31	0.36
WBGene00003886	R31.3.1	1508.00	1363.85	5.00	0.15	0.18
WBGene00003887	T05D4.4a.1,T05D4.4b.1	1945.02	1800.86	299.00	6.97	8.15
WBGene00003888	R07G3.6.1	1167.00	1022.85	3.00	0.12	0.14
WBGene00003889	B0212.5.1	2875.00	2730.85	9.00	0.14	0.16
WBGene00003890	T20H4.1a.1,T20H4.1b.1	1643.59	1499.43	43.00	1.20	1.41
WBGene00003891	F11C7.5.1,F11C7.5.2	1176.00	1031.85	1817.00	73.92	86.45
WBGene00003892	Y75B8A.12.1	2337.00	2192.85	8.00	0.15	0.18
WBGene00003893	C44B12.2a.1,C44B12.2b.1	975.76	831.61	5332.00	269.13	314.77
WBGene00003898	Y39A1C.2.1	3310.00	3165.85	2334.00	30.95	36.19
WBGene00003901	F48E8.5.1	2159.00	2014.85	4433.00	92.35	108.01
WBGene00003902	Y106G6H.2.1,Y106G6H.2.2,Y106G6H.2.3	2224.60	2080.44	27693.00	558.74	653.49
WBGene00003903	F18H3.3a.1,F18H3.3a.2,F18H3.3a.3,F18H3.3b.1	3057.47	2913.31	1678.00	24.18	28.28
WBGene00003904	C17E4.5.1	979.00	834.85	2300.00	115.64	135.25
WBGene00003905	Y18D10A.13.1	7731.00	7586.85	2699.00	14.93	17.46
WBGene00003906	W03G9.6.1,W03G9.6.2	1335.00	1190.85	14.00	0.49	0.58
WBGene00003907	C52B9.7a.1,C52B9.7a.2,C52B9.7b.1	1295.91	1151.76	176.00	6.41	7.50
WBGene00003909	F45B8.4.1	1586.00	1441.85	4.00	0.12	0.14
WBGene00003911	C09B8.7a.1,C09B8.7b.1,C09B8.7c.1	2311.10	2166.94	1005.00	19.47	22.77
WBGene00003912	C38D4.6a.1,C38D4.6a.2,C38D4.6b.1,C38D4.6b.2,C38D4.6c.1	1331.42	1187.27	2943.00	104.05	121.69
WBGene00003914	F49E8.3a.1,F49E8.3a.2,F49E8.3a.3,F49E8.3b.1	2823.82	2679.66	10916.00	170.99	199.99
WBGene00003915	M88.6a.1,M88.6b.1,M88.6c.1	1913.51	1769.35	895.00	21.23	24.83
WBGene00003916	H39E23.1a.1,H39E23.1b.1,H39E23.1c.1,H39E23.1d.1,H39E23.1e.1,H39E23.1e.2,H39E23.1e.3,H39E23.1e.4,H39E23.1e.5,H39E23.1e.6,H39E23.1f.1,H39E23.1g.1,H39E23.1h.1,H39E23.1i.1,H39E23.1j.1,H39E23.1k.1,H39E23.1l.1,H39E23.1m.1	4183.24	4039.09	3454.00	35.90	41.98
WBGene00003917	F58B6.3a.1,F58B6.3b.1,F58B6.3c.1	1314.57	1171.17	302.00	10.82	12.66
WBGene00003918	F54E7.3a.1,F54E7.3b.1,F54E7.3b.2,F54E7.3b.3,F54E7.3c.1,F54E7.3c.2,F54E7.3d.1,F54E7.3e.1,F54E7.3f.1,F54E7.3g.1,F54E7.3h.1,F54E7.3i.1,F54E7.3j.1,F54E7.3k.1,F54E7.3l.1,F54E7.3m.1	4871.85	4727.69	7893.00	70.08	81.96
WBGene00003919	Y59A8B.14a.1,Y59A8B.14b.1,Y59A8B.14c.1	1801.31	1657.15	2548.26	64.55	75.49
WBGene00003920	M117.2a.1,M117.2a.2,M117.2a.3,M117.2a.4,M117.2b.1	918.43	774.32	24825.00	1345.75	1573.94
WBGene00003921	T26E3.3a.1,T26E3.3a.2,T26E3.3b.1	1374.52	1230.36	628.00	21.43	25.06
WBGene00003922	C15H11.7.1	946.00	801.85	3482.00	182.28	213.19
WBGene00003923	D1054.2.1	842.00	697.85	3395.00	204.21	238.84
WBGene00003924	Y110A7A.14.1	893.00	748.85	5993.00	335.93	392.89
WBGene00003925	C36B1.4.1	883.00	738.85	1968.00	111.81	130.77
WBGene00003926	F25H2.9.1	855.00	710.85	5805.00	342.79	400.91
WBGene00003927	CD4.6.1	989.00	844.85	3578.00	177.77	207.91
WBGene00003928	ZK945.2.1	979.00	834.85	3986.00	200.41	234.40
WBGene00003929	F54F2.1.1	3972.00	3827.85	1535.00	16.83	19.69
WBGene00003930	ZK1058.2.1	2848.00	2703.85	5587.00	86.74	101.44
WBGene00003931	C29F9.7.1	1597.00	1452.85	381.00	11.01	12.87
WBGene00003932	T21D12.4.1	1259.00	1114.85	666.00	25.08	29.33
WBGene00003933	T27B1.2.1	2125.00	1980.85	34.00	0.72	0.84
WBGene00003934	F54C1.7.1,F54C1.7.2,F54C1.7.3,F54C1.7.4,F54C1.7.5,F54C1.7.6	675.19	531.04	15312.00	1210.33	1415.56
WBGene00003936	T17H7.4a.1,T17H7.4b.1,T17H7.4c.1,T17H7.4d.1,T17H7.4d.2,T17H7.4d.3,T17H7.4d.4,T17H7.4d.5,T17H7.4d.6,T17H7.4d.7,T17H7.4e.1,T17H7.4g.1,T17H7.4g.2,T17H7.4h.1,T17H7.4i.1,T17H7.4j.1,T17H7.4k.1,T17H7.4k.2,T17H7.4m.1	2273.51	2129.36	1209.00	23.82	27.85
WBGene00003937	K07C11.1.1	884.00	739.85	0.00	0.00	0.00
WBGene00003938	K06B9.5a.1,K06B9.5b.1	870.00	725.85	5.00	0.29	0.34
WBGene00003939	F27E5.2.1	1625.00	1480.85	8.00	0.23	0.27
WBGene00003941	Y71H2AL.1.1	697.00	552.85	317.00	24.07	28.15
WBGene00003943	K09C8.1.1	2526.00	2381.85	263.00	4.63	5.42
WBGene00003947	K08D12.1.1	822.00	677.85	1725.00	106.82	124.93
WBGene00003948	C47B2.4.1	1007.00	862.85	3869.00	188.22	220.13
WBGene00003949	Y38A8.2.1	848.00	703.85	3547.00	211.53	247.40
WBGene00003950	T20F5.2.1	801.00	656.85	3777.00	241.37	282.30
WBGene00003951	K05C4.1.1	1059.00	914.85	3678.00	168.76	197.37
WBGene00003952	C02F5.9.1	878.00	733.85	3550.00	203.06	237.49
WBGene00003953	F39H11.5.1	878.00	733.85	4556.00	260.60	304.79
WBGene00003954	C10F3.5a.1,C10F3.5b.1	1047.72	903.56	243.00	11.29	13.20
WBGene00003955	W03D2.4.1	991.00	846.85	5510.00	273.11	319.43
WBGene00003956	ZK112.1.1	1773.00	1628.85	1157.00	29.82	34.87
WBGene00003957	F23B2.12.1	3556.00	3411.85	938.94	11.55	13.51
WBGene00003958	F23B2.11.1	3363.00	3218.85	1589.06	20.72	24.24
WBGene00003959	Y116F11B.3.1,Y116F11B.3.2	3169.00	3024.85	233.00	3.23	3.78
WBGene00003960	F54D5.1a.1,F54D5.1b.1	1433.24	1289.08	914.00	29.76	34.81
WBGene00003961	C07G1.3a.1,C07G1.3a.2,C07G1.3b,C07G1.3c.1	2221.45	2077.30	3441.00	69.53	81.32
WBGene00003962	C14B1.1.1	1577.00	1432.85	10638.00	311.64	364.49
WBGene00003963	C07A12.4.1,C07A12.4.2	1898.00	1753.85	5392.00	129.05	150.93
WBGene00003964	H06O01.1.1,H06O01.1.2	1702.00	1557.85	8155.00	219.73	256.99
WBGene00003965	H42K12.1a.1,H42K12.1b.1	2418.42	2274.27	525.00	9.69	11.33
WBGene00003966	C27H5.1.1	639.00	494.85	32.00	2.71	3.17
WBGene00003967	K08E3.7a.1,K08E3.7b.1,K08E3.7b.2,K08E3.7c.1	1204.95	1060.79	1801.96	71.30	83.39
WBGene00003968	T14F9.4a.1,T14F9.4b.1,T14F9.4c.1	1638.08	1493.92	38.00	1.07	1.25
WBGene00003969	F23H11.8a.1,F23H11.8b.1,F23H11.8b.2,F23H11.8c.1	2290.58	2146.42	97.00	1.90	2.22
WBGene00003970	F46C3.1.1	3709.00	3564.85	1929.00	22.71	26.57
WBGene00003975	T28D6.9.1	483.00	338.86	492.00	60.95	71.28
WBGene00003976	T28H11.4a.1,T28H11.4b.1	938.00	793.85	41.00	2.17	2.54
WBGene00003977	F56G4.2.1	996.00	851.85	500.37	24.66	28.84
WBGene00003978	Y119D3B.17.1,Y119D3B.17.2	1621.70	1477.54	129.00	3.66	4.29
WBGene00003979	T27D12.4a.1,T27D12.4b.1,T27D12.4c.1	1406.43	1262.28	424.00	14.10	16.49
WBGene00003980	F09C3.1.1	4281.00	4136.85	475.00	4.82	5.64
WBGene00003981	F18G5.2a.1,F18G5.2b.1	1675.67	1531.52	52.00	1.43	1.67
WBGene00003982	R11H6.1.1	1541.00	1396.85	5818.00	174.83	204.48
WBGene00003983	Y46G5A.27.1	1456.00	1311.85	200.00	6.40	7.48
WBGene00003986	K05B2.5a.1,K05B2.5a.2,K05B2.5b.1,K05B2.5c.1	2793.71	2649.55	1014.00	16.06	18.79
WBGene00003987	F14B8.3.1	1657.00	1512.85	181.00	5.02	5.87
WBGene00003989	Y18D10A.20.1	701.00	556.85	3180.00	239.71	280.36
WBGene00003990	F35C8.6.1	774.00	629.85	484.00	32.26	37.73
WBGene00003991	K03E6.6.1	521.00	376.85	320.00	35.64	41.69
WBGene00003992	ZK381.4a.1,ZK381.4a.2,ZK381.4b.1	2417.83	2273.68	7711.00	142.36	166.50
WBGene00003993	B0523.3.1,B0523.3.2	1739.69	1595.54	1384.68	36.43	42.61
WBGene00003994	C18G1.4a.1,C18G1.4b.1	2273.66	2129.50	6459.00	127.32	148.91
WBGene00003995	K08E7.9.1	4092.00	3947.85	1490.00	15.84	18.53
WBGene00003996	C34G6.4a.1,C34G6.4b.1,C34G6.4c.1,C34G6.4d.1	4177.91	4033.75	1432.00	14.90	17.43
WBGene00003997	ZK455.7.1	3900.00	3755.85	662.72	7.41	8.66
WBGene00003998	F42E11.1a.1,F42E11.1b.1,F42E11.1b.2	3994.89	3850.74	320.28	3.49	4.08
WBGene00003999	C05A9.1a.1,C05A9.1b.1	3784.35	3640.19	352.09	4.06	4.75
WBGene00004000	T21E8.1a.1,T21E8.1b.1,T21E8.1c.1	3774.00	3629.85	279.87	3.24	3.79
WBGene00004001	T21E8.2.1	3459.00	3314.85	78.04	0.99	1.16
WBGene00004002	T21E8.3.1	3959.00	3814.85	97.00	1.07	1.25
WBGene00004003	C47A10.1.1	3991.00	3846.85	606.00	6.61	7.73
WBGene00004004	C54D1.1.1	4284.00	4139.85	84.00	0.85	1.00
WBGene00004005	DH11.3.1,DH11.3.2	3942.46	3798.30	478.00	5.28	6.18
WBGene00004006	F22E10.1.1	4137.00	3992.85	70.00	0.74	0.86
WBGene00004007	F22E10.2.1	4319.00	4174.85	159.00	1.60	1.87
WBGene00004008	F22E10.3.1	4293.00	4148.85	555.00	5.62	6.57
WBGene00004009	F22E10.4	3976.00	3831.85	21.00	0.23	0.27
WBGene00004010	Y48A6C.5a.1,Y48A6C.5b.1	2092.00	1947.85	306.00	6.59	7.71
WBGene00004011	M6.3.1	1109.00	964.85	7.00	0.30	0.36
