"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00017797","symk-1","CSR",2936.277,3010.44,10967.766,11100.365,3.711,0
"WBGene00015158","WBGene00015158","WAGO",1057.228,1112.775,9.61,15.937,-82.661,0
"WBGene00000982","dhs-19","WAGO",89.438,108.773,1066.711,1053.94,10.683,0
"WBGene00018704","ztf-13","WAGO",864.008,883.49,28.83,24.436,-33.073,0
"WBGene00048521","Y57G11C.291","piRNA",1089.291,1030.608,16.474,10.624,-80.152,0
"WBGene00001878","his-4","histone",156.939,137.727,1253.42,1248.366,8.497,0
"WBGene00021790","WBGene00021790","WAGO",1134.01,1043.129,13.729,11.687,-86.434,0
"WBGene00044372","WBGene00044372","WAGO",1432.701,1356.928,10.983,7.437,-154.947,0
"WBGene00003352","mir-258.1","unk",886.789,885.838,39.813,27.623,-26.726,0
"WBGene00043991","mir-258.2","unk",886.789,885.838,39.813,27.623,-26.726,0
"WBGene00012890","lact-9","WAGO",1069.041,1050.954,41.186,73.308,-18.141,0
"WBGene00017106","WBGene00017106","WAGO",991.415,874.882,50.796,46.747,-19.195,0
"WBGene00045203","smy-8","unk",1077.479,1198.855,101.592,78.62,-12.739,0
"WBGene00019881","WBGene00019881","WAGO",1067.353,961.744,70.016,46.747,-17.641,0
"WBGene00045786","Y40H7A.25","piRNA",999.009,1328.757,20.593,8.5,-83.739,0
"WBGene00169185","Y40H7A.219","piRNA",999.009,1328.757,20.593,8.5,-83.739,0
"WBGene00015015","math-1","WAGO",714.663,682.377,3226.217,3297.811,4.671,0
"WBGene00015955","WBGene00015955","WAGO",873.289,890.533,45.304,40.373,-20.689,0
"WBGene00021819","WBGene00021819","unk",861.477,867.057,23.339,23.374,-37.001,0
"WBGene00018433","ceh-82","WAGO",1499.357,1410.924,8.237,8.5,-173.555,0
"WBGene00003480","klf-3","WAGO",1080.01,1053.302,13.729,10.624,-88.878,0
"WBGene00015153","WBGene00015153","WAGO",685.131,752.806,3459.603,3339.246,4.726,0
"WBGene00018807","fbxa-146","WAGO",829.414,855.319,28.83,30.811,-28.161,0
"WBGene00020669","WBGene00020669","WAGO",1253.824,1227.809,12.356,7.437,-129.115,0
"WBGene00015601","fbxa-166","WAGO",923.915,852.971,48.05,35.06,-21.666,0
"WBGene00013574","lron-13","unk",1030.228,1083.039,90.609,64.809,-13.755,0
"WBGene00013180","cutl-10","WAGO",577.13,501.61,2764.937,3004.578,5.352,0
"WBGene00001736","grl-27","WAGO",114.751,109.556,1101.032,1023.129,9.469,0
"WBGene00000546","clp-6","WAGO",1509.482,1439.095,172.98,115.806,-10.313,0
"WBGene00044705","WBGene00044705","WAGO",836.164,828.712,35.694,27.623,-26.606,0
"WBGene00018085","ttr-20","WAGO",1080.854,1071.3,17.847,6.375,-93.874,0
"WBGene00018767","WBGene00018767","WAGO",818.445,838.885,37.067,30.811,-24.622,0
"WBGene00269438","WBGene00269438","unk",15293.952,13986.378,4000.51,3725.974,-3.79,0
"WBGene00011635","mdmh-35","WAGO",1242.011,1219.201,107.083,139.18,-9.92,0
"WBGene00006508","tns-1","WAGO",1424.263,1443.008,185.336,198.676,-7.454,0
"WBGene00021458","WBGene00021458","WAGO",806.632,862.362,19.22,22.311,-39.889,0
"WBGene00001488","frm-1","ALG",13069.806,12749.179,42630.001,42196.897,3.285,0
"WBGene00016076","WBGene00016076","WAGO",983.821,1115.123,12.356,10.624,-92.132,0
"WBGene00010690","WBGene00010690","WAGO",949.227,989.916,74.134,79.683,-12.575,0
"WBGene00013999","WBGene00013999","WAGO",875.82,796.628,21.966,19.124,-40.986,0
"WBGene00022416","WBGene00022416","WAGO",1024.322,813.061,21.966,14.874,-50.861,0
"WBGene00050926","WBGene00050926","WAGO",869.914,811.496,15.101,21.249,-45.457,0
"WBGene00016435","WBGene00016435","WAGO",898.602,836.538,13.729,18.061,-53.797,0
"WBGene00219959","WBGene00219959","unk",1141.604,1004.784,4715.769,4588.675,4.336,0
"WBGene00019569","WBGene00019569","WAGO",842.07,780.977,21.966,21.249,-37.617,0
"WBGene00006750","unc-10","WAGO",6550.091,7269.035,101.592,59.497,-86.381,0
"WBGene00015701","WBGene00015701","WAGO",966.103,873.317,16.474,11.687,-66.546,0
"WBGene00007667","fbxa-97","WAGO",974.54,1066.605,6.864,14.874,-90.16,0
"WBGene00001920","his-46","histone",240.471,203.461,1688.616,1482.103,7.144,0
"WBGene00001930","his-56","histone",240.471,203.461,1688.616,1482.103,7.144,0
"WBGene00008349","WBGene00008349","unk",1080.01,1074.431,112.574,105.181,-9.915,0
"WBGene00050628","Y64G10A.158","piRNA",871.602,1097.124,17.847,9.562,-74.264,0
"WBGene00046773","Y41E3.63","piRNA",904.508,806.019,24.711,12.749,-47.202,0
"WBGene00048646","Y57G11A.53","piRNA",768.663,957.832,16.474,22.311,-43.865,0
"WBGene00044897","WBGene00044897","WAGO",967.79,866.274,68.643,62.684,-14.01,0
"WBGene00009021","WBGene00009021","WAGO",883.414,897.576,3756.141,3635.667,4.15,0
"WBGene00014033","arrd-15","WAGO",818.445,817.757,46.677,47.81,-17.3,0
"WBGene00013799","athp-3","WAGO",840.383,751.241,21.966,20.186,-37.914,0
"WBGene00011592","WBGene00011592","WAGO",760.226,851.406,26.084,16.999,-38.212,0
"WBGene00003296","WBGene00003296","unk",820.132,1004.784,56.287,37.185,-19.842,0
"WBGene00008890","ser-5","WAGO",1063.135,991.481,12.356,8.5,-100.64,0
"WBGene00020256","WBGene00020256","unk",111.376,92.34,1002.187,959.383,9.64,0
"WBGene00016717","math-22","unk",49.782,39.127,687.802,751.144,16.231,0
"WBGene00013230","fbxb-22","WAGO",774.57,835.755,19.22,15.937,-46.259,0
"WBGene00020793","WBGene00020793","unk",985.509,1006.349,98.846,77.558,-11.382,0
"WBGene00022067","ivph-3","unk",1420.888,1439.095,190.827,214.613,-7.034,0
"WBGene00305942","WBGene00305942","unk",743.351,693.332,3099.914,3189.442,4.379,0
"WBGene00016067","WBGene00016067","WAGO",980.446,1048.607,15.101,6.375,-99.075,0
"WBGene00019545","WBGene00019545","unk",124.032,151.813,1117.507,1176.12,8.307,0
"WBGene00049114","T27E7.30","piRNA",794.82,1212.158,17.847,13.812,-64.231,0
"WBGene00020164","WBGene00020164","WAGO",1755.016,1772.458,303.402,309.17,-5.756,0
"WBGene00013500","WBGene00013500","ERGO",1481.638,1740.374,211.42,235.861,-7.188,0
"WBGene00007218","WBGene00007218","WAGO",784.695,813.061,16.474,15.937,-49.386,0
"WBGene00012899","WBGene00012899","WAGO",1141.604,1147.207,10.983,6.375,-136.102,0
"WBGene00018575","clec-119","ALG",903.664,845.928,67.27,63.746,-13.379,0
"WBGene00001910","WBGene00001910","unk",219.377,183.115,1367.367,1427.918,6.953,0
"WBGene00012985","WBGene00012985","WAGO",967.79,1169.118,9.61,9.562,-111.511,0
"WBGene00017949","WBGene00017949","WAGO",8591.984,8336.423,2438.197,2362.865,-3.527,0
"WBGene00019536","rpi-2","WAGO",9620.525,8991.411,30820.672,30247.643,3.281,0
"WBGene00021954","WBGene00021954","WAGO",400.785,379.533,2023.593,1968.7,5.117,0
"WBGene00021174","fbxb-99","unk",938.259,853.754,13.729,10.624,-74.635,0
"WBGene00000393","cdf-1","WAGO",791.445,772.369,17.847,15.937,-46.564,0
"WBGene00013501","WBGene00013501","ERGO",1488.389,1752.895,211.42,240.111,-7.16,0
"WBGene00195896","WBGene00195896","unk",790.601,763.761,13.729,21.249,-43.473,0
"WBGene00011607","WBGene00011607","unk",450.567,404.574,2221.285,2128.066,5.087,0
"WBGene00009069","WBGene00009069","unk",989.728,863.927,3953.832,4016.02,4.301,0
"WBGene00010453","fozi-1","WAGO",2988.59,2735.768,621.905,560.968,-4.846,0
"WBGene00201366","WBGene00201366","unk",11488.605,9928.897,159.252,93.495,-85.105,0
"WBGene00008568","WBGene00008568","WAGO",753.476,745.763,30.203,36.123,-22.426,0
"WBGene00018772","WBGene00018772","WAGO",5464.175,5277.465,17333.711,17706.611,3.262,0
"WBGene00304798","WBGene00304798","unk",1382.075,1325.627,5126.253,5029.587,3.751,0
"WBGene00047055","Y37A1B.58","piRNA",817.601,1271.631,10.983,14.874,-79.586,0
"WBGene00050608","C52D10.57","piRNA",1063.978,964.875,13.729,6.375,-105.326,0
"WBGene00023172","WBGene00023172","WAGO",750.944,803.671,45.304,40.373,-18.234,0
"WBGene00018593","WBGene00018593","WAGO",734.913,747.328,23.339,30.811,-27.025,0
"WBGene00049789","Y40H7A.121","piRNA",736.6,1089.299,16.474,20.186,-49.338,0
"WBGene00002176","jip-1","unk",1454.638,1468.049,233.386,215.675,-6.52,0
"WBGene00019858","WBGene00019858","WAGO",735.757,835.755,42.559,42.498,-18.48,0
"WBGene00021515","set-23","WAGO",1931.361,1668.38,292.419,291.108,-6.169,0
"WBGene00305433","WBGene00305433","unk",156.095,186.245,1302.843,1213.306,7.34,0
"WBGene00013248","WBGene00013248","WAGO",2675.556,2461.878,547.771,509.971,-4.862,0
"WBGene00012666","WBGene00012666","unk",911.258,873.317,70.016,78.62,-11.957,0
"WBGene00049337","Y73F8A.368","piRNA",880.883,937.486,10.983,10.624,-84.319,0
"WBGene00166859","Y73F8A.629","piRNA",880.883,937.486,10.983,10.624,-84.319,0
"WBGene00015590","bath-15","WAGO",1264.793,1335.017,179.844,138.117,-8.231,0
"WBGene00044045","WBGene00044045","WAGO",741.663,774.717,35.694,42.498,-19.252,0
"WBGene00004905","snf-6","WAGO",878.352,830.277,60.406,70.121,-13.019,0
"WBGene00000460","ceh-39","WAGO",1134.01,971.918,98.846,109.431,-10.079,0
"WBGene00044461","WBGene00044461","WAGO",870.758,871.752,76.88,60.559,-12.786,0
"WBGene00013440","nrps-1","WAGO",2219.926,1920.359,8022.985,7870.549,3.839,0
"WBGene00000821","csp-3","WAGO",869.07,831.06,16.474,8.5,-70.565,0
"WBGene00044639","WBGene00044639","WAGO",828.57,899.141,71.389,66.934,-12.52,0
"WBGene00018667","bath-7","WAGO",1283.355,1152.685,137.286,86.058,-11.042,0
"WBGene00019370","WBGene00019370","WAGO",863.164,816.192,12.356,11.687,-70.061,0
"WBGene00305273","WBGene00305273","unk",945.852,977.395,97.473,97.744,-9.851,0
"WBGene00047790","Y105C5A.243","piRNA",793.132,947.659,15.101,9.562,-72.376,0
"WBGene00219413","WBGene00219413","unk",4739.387,4345.457,15189.306,15286.375,3.355,0
"WBGene00013410","fbxb-94","WAGO",723.944,755.936,35.694,21.249,-26.608,0
"WBGene00015814","oatr-1","WAGO",907.04,885.055,85.117,75.433,-11.208,0
"WBGene00013222","dmsr-6","WAGO",759.382,781.76,15.101,13.812,-53.561,0
"WBGene00050685","Y57G11C.480","piRNA",722.257,979.743,16.474,13.812,-56.726,0
"WBGene00020170","WBGene00020170","WAGO",709.6,776.282,32.949,40.373,-20.094,0
"WBGene00235354","WBGene00235354","unk",1187.167,1189.464,4375.3,4489.868,3.73,0
"WBGene00022225","WBGene00022225","WAGO",743.351,710.548,15.101,24.436,-35.927,0
"WBGene00010386","WBGene00010386","WAGO",1137.385,1165.988,4268.217,4387.874,3.758,0
"WBGene00305263","WBGene00305263","unk",739.975,755.936,20.593,12.749,-45.996,0
"WBGene00013154","WBGene00013154","unk",60.751,57.126,697.412,752.207,12.31,0
"WBGene00046462","Y57G11A.18","piRNA",723.1,1175.379,15.101,19.124,-54.874,0
"WBGene00019167","WBGene00019167","unk",1258.886,1212.941,168.862,176.365,-7.152,0
"WBGene00196500","WBGene00196500","unk",1125.573,970.352,4604.567,4267.818,4.234,0
"WBGene00271809","WBGene00271809","unk",9985.872,9734.044,30102.667,31011.537,3.099,0
"WBGene00022163","WBGene00022163","WAGO",28764.543,25348.11,428.332,250.736,-79.818,0
"WBGene00022274","WBGene00022274","WAGO",1007.447,1245.025,120.812,113.681,-9.624,0
"WBGene00011792","WBGene00011792","WAGO",494.442,458.57,2350.334,2181.188,4.755,0
"WBGene00022211","WBGene00022211","WAGO",2382.772,2381.276,518.94,521.658,-4.578,0
"WBGene00012124","WBGene00012124","WAGO",3632.377,3519.093,11935.631,11480.718,3.274,0
"WBGene00009142","WBGene00009142","WAGO",731.538,756.718,35.694,16.999,-29.2,0
"WBGene00003941","pbo-1","WAGO",2001.393,2051.043,6869.784,6992.975,3.421,0
"WBGene00013237","WBGene00013237","ALG",127.407,103.296,969.238,1000.818,8.553,0
"WBGene00305929","WBGene00305929","unk",842.914,863.927,78.253,70.121,-11.548,0
"WBGene00002262","ldh-1","unk",88.595,99.383,837.444,921.135,9.353,0
"WBGene00049590","H12I19.43","piRNA",894.383,1039.216,9.61,8.5,-107.546,0
"WBGene00167981","H12I19.71","piRNA",894.383,1039.216,9.61,8.5,-107.546,0
"WBGene00009161","cox-7C","ALG",997.322,874.1,3780.852,4007.521,4.164,0
"WBGene00046858","Y57G11C.147","piRNA",747.569,1292.76,12.356,14.874,-74.274,0
"WBGene00008226","WBGene00008226","WAGO",905.352,1036.086,15.101,4.25,-107.205,0
"WBGene00044056","WBGene00044056","unk",714.663,676.899,31.576,27.623,-23.648,0
"WBGene00012967","kvs-4","WAGO",786.382,712.113,23.339,10.624,-45.883,0
"WBGene00196465","WBGene00196465","unk",11.813,20.346,546.398,568.405,34.432,0
"WBGene00022685","WBGene00022685","WAGO",1199.823,1173.031,4351.961,4340.064,3.663,0
"WBGene00021374","WBGene00021374","unk",788.07,784.89,60.406,59.497,-13.126,0
"WBGene00009288","WBGene00009288","WAGO",695.256,675.334,20.593,24.436,-30.187,0
"WBGene00008399","WBGene00008399","CSR",1758.391,1791.239,323.995,345.293,-5.297,0
"WBGene00219589","anr-35","unk",65071.436,61766.063,21048.666,20369.084,-3.062,0
"WBGene00050509","Y41E3.199","piRNA",685.131,780.195,15.101,15.937,-47.085,0
"WBGene00046333","Y51H4A.83","piRNA",826.883,813.061,10.983,10.624,-76.038,0
"WBGene00048383","Y51H4A.230","piRNA",826.883,813.061,10.983,10.624,-76.038,0
"WBGene00022736","WBGene00022736","WAGO",696.944,690.202,17.847,18.061,-38.606,0
"WBGene00013246","WBGene00013246","unk",3592.72,3686.557,951.391,932.822,-3.864,0
"WBGene00016931","WBGene00016931","WAGO",683.444,807.584,34.321,15.937,-30.699,0
"WBGene00018804","lido-15","WAGO",2802.963,2595.693,9394.47,8936.176,3.395,0
"WBGene00235272","WBGene00235272","unk",723.1,762.979,16.474,10.624,-56.151,0
"WBGene00012238","WBGene00012238","WAGO",791.445,804.453,68.643,62.684,-12.192,0
"WBGene00202374","WBGene00202374","unk",690.194,749.676,19.22,11.687,-47.815,0
"WBGene00305498","WBGene00305498","unk",8062.948,7875.506,2436.824,2346.928,-3.332,0
"WBGene00015404","nstp-4","WAGO",908.727,866.274,93.354,74.371,-10.661,0
"WBGene00015851","WBGene00015851","unk",974.54,985.221,118.066,111.556,-8.549,0
"WBGene00001938","his-64","histone",239.627,188.593,1504.653,1357.797,6.689,0
"WBGene00012290","WBGene00012290","ERGO",1611.577,1687.944,308.893,259.235,-5.828,0
"WBGene00015914","WBGene00015914","WAGO",734.069,843.581,12.356,10.624,-69.238,0
"WBGene00305499","WBGene00305499","unk",5867.491,5556.05,18441.608,17595.055,3.155,0
"WBGene00047316","Y105C5B.215","piRNA",729.007,989.133,15.101,8.5,-75.077,0
"WBGene00167217","Y105C5B.768","piRNA",729.007,989.133,15.101,8.5,-75.077,0
"WBGene00046588","Y73F8A.131","piRNA",729.007,925.748,8.237,13.812,-73.055,0
"WBGene00304824","WBGene00304824","unk",796.507,831.842,10.983,9.562,-79.886,0
"WBGene00019125","ddl-1","WAGO",2045.269,2046.348,442.06,422.851,-4.734,0
"WBGene00014807","WBGene00014807","WAGO",975.384,896.011,13.729,4.25,-110.822,0
"WBGene00016208","WBGene00016208","unk",626.068,758.283,23.339,21.249,-31.194,0
"WBGene00077558","WBGene00077558","WAGO",833.633,874.1,38.44,71.183,-15.259,0
"WBGene00022138","trpp-10","unk",2365.053,2288.936,507.958,532.282,-4.471,0
"WBGene00220042","WBGene00220042","unk",8.438,16.433,516.195,567.343,43.201,0
"WBGene00016718","math-23","unk",18.563,26.606,536.788,550.343,23.97,0
"WBGene00220258","WBGene00220258","unk",761.069,729.329,10.983,12.749,-62.288,0
"WBGene00007900","WBGene00007900","WAGO",664.881,883.49,10.983,27.623,-38.561,0
"WBGene00018202","WBGene00018202","WAGO",28056.63,27277.077,303.402,162.553,-119.013,0
"WBGene00010040","WBGene00010040","ALG",1328.918,1292.76,211.42,211.425,-6.2,0
"WBGene00010362","enu-3.1","WAGO",3082.247,2834.368,708.395,709.709,-4.172,0
"WBGene00049152","R05A10.48","piRNA",805.789,755.153,13.729,8.5,-72.109,0
"WBGene00008317","WBGene00008317","WAGO",729.85,716.809,52.169,36.123,-16.625,0
"WBGene00000207","asb-2","WAGO",763.601,739.502,49.423,60.559,-13.564,0
"WBGene00004352","rgs-9","WAGO",682.6,630.729,19.22,23.374,-30.542,0
"WBGene00016264","WBGene00016264","WAGO",724.788,737.155,13.729,10.624,-60.883,0
"WBGene00048550","Y40H7A.91","piRNA",640.412,838.885,16.474,13.812,-49.301,0
"WBGene00305489","WBGene00305489","unk",45.563,37.562,591.702,633.214,14.77,0
"WBGene00003351","mir-257","unk",860.633,809.149,3196.014,3572.983,4.056,0
"WBGene00019135","math-32","unk",21.938,25.041,536.788,517.408,22.399,0
"WBGene00011805","WBGene00011805","WAGO",3013.902,2787.416,712.514,643.838,-4.282,0
"WBGene00017235","WBGene00017235","unk",739.975,678.464,46.677,28.686,-19.197,0
"WBGene00046923","Y45F10D.26","piRNA",818.445,637.772,19.22,11.687,-48.308,0
"WBGene00050473","Y45F10D.56","piRNA",818.445,637.772,19.22,11.687,-48.308,0
"WBGene00047014","Y73F8A.172","piRNA",658.131,1240.33,19.22,19.124,-49.538,0
"WBGene00009148","WBGene00009148","WAGO",691.038,643.25,13.729,16.999,-42.944,0
"WBGene00047535","Y51H4A.170","piRNA",651.381,845.146,16.474,10.624,-56.518,0
"WBGene00012639","fezf-1","WAGO",84.376,85.297,766.055,778.768,9.105,0
"MIMAT0000050","MIMAT0000050","miRNA",819.289,955.484,91.982,82.87,-10.185,0
"WBGene00011716","WBGene00011716","unk",59.907,73.559,763.309,691.648,10.877,0
"WBGene00049964","F13G11.49","piRNA",696.944,701.94,16.474,9.562,-55.315,0
"WBGene00174075","F13G11.133","piRNA",696.944,701.94,16.474,9.562,-55.315,0
"WBGene00002223","klp-12","unk",3245.092,3178.687,852.545,802.142,-3.885,0
"WBGene00017737","WBGene00017737","ALG",682.6,654.205,35.694,19.124,-25.067,0
"WBGene00016799","WBGene00016799","unk",1447.044,1525.957,277.317,251.798,-5.63,0
"WBGene00022110","WBGene00022110","WAGO",1197.292,1061.127,161.997,142.367,-7.444,0
"WBGene00305274","WBGene00305274","unk",861.477,924.965,101.592,76.496,-10.121,0
"WBGene00046745","F52B11.14","piRNA",662.35,857.666,9.61,13.812,-63.691,0
"WBGene00047923","F52B11.21","piRNA",662.35,857.666,9.61,13.812,-63.691,0
"WBGene00174892","F52B11.101","piRNA",662.35,857.666,9.61,13.812,-63.691,0
"WBGene00305095","WBGene00305095","unk",664.037,632.294,32.949,21.249,-24.396,0
"WBGene00000221","atf-4","WAGO",1287.574,1378.057,192.2,227.362,-6.33,0
"WBGene00021653","WBGene00021653","unk",675.85,636.989,13.729,15.937,-43.91,0
"WBGene00013198","WBGene00013198","ALG",741.663,706.636,43.931,58.434,-13.998,0
"WBGene00049672","C47A4.59","piRNA",651.381,831.842,13.729,10.624,-61.763,0
"WBGene00165189","Y40H7A.157","piRNA",675.85,764.544,13.729,9.562,-63.088,0
"WBGene00167526","Y40H7A.194","piRNA",675.85,764.544,13.729,9.562,-63.088,0
"WBGene00050294","Y37A1B.142","piRNA",615.943,878.012,12.356,16.999,-50.115,0
"WBGene00015639","WBGene00015639","WAGO",869.914,1029.826,67.27,100.932,-11.164,0
"WBGene00002230","klp-20","WAGO",1130.635,1045.476,149.642,156.179,-7.107,0
"WBGene00047735","Y105C5B.260","piRNA",780.476,1157.38,6.864,9.562,-115.886,0
"WBGene00018578","WBGene00018578","unk",815.07,711.331,65.897,50.997,-13.176,0
"WBGene00019875","mca-2","WAGO",764.444,667.509,10.983,11.687,-62.942,0
"WBGene00045593","Y105C5B.36","piRNA",713.819,888.185,10.983,8.5,-83.433,0
"WBGene00022430","WBGene00022430","unk",16.875,22.694,491.483,512.096,25.278,0
"WBGene00003075","lrx-1","WAGO",829.414,946.876,10.983,5.312,-113.599,0
"WBGene00201623","WBGene00201623","unk",37.969,38.345,609.549,540.782,15.061,0
"WBGene00050145","Y57G11C.426","piRNA",856.414,711.331,9.61,9.562,-81.78,0
"WBGene00017007","WBGene00017007","WAGO",948.384,928.095,119.439,114.743,-8.022,0
"WBGene00018304","agr-1","WAGO",642.943,621.339,21.966,13.812,-36.165,0
"WBGene00019863","WBGene00019863","WAGO",718.038,780.195,67.27,49.935,-12.921,0
"WBGene00005191","srg-34","WAGO",840.383,872.535,10.983,5.312,-109.549,0
"WBGene00007025","mdt-29","WAGO",2052.019,1953.226,444.806,445.162,-4.5,0
"WBGene00235370","WBGene00235370","unk",900.289,764.544,79.626,79.683,-10.448,0
"WBGene00021415","nsy-4","WAGO",703.694,650.293,49.423,36.123,-16.024,0
"WBGene00049451","LLC1.35","piRNA",696.944,843.581,9.61,9.562,-80.392,0
"WBGene00165083","LLC1.48","piRNA",696.944,843.581,9.61,9.562,-80.392,0
"WBGene00171388","LLC1.89","piRNA",696.944,843.581,9.61,9.562,-80.392,0
"WBGene00172188","LLC1.98","piRNA",696.944,843.581,9.61,9.562,-80.392,0
"WBGene00013334","nlp-56","unk",10.125,22.694,492.856,562.03,31.86,0
"WBGene00003541","nas-22","unk",73.407,66.516,675.446,724.584,10.018,0
"WBGene00002978","lev-11","WAGO",671.631,590.037,28.83,30.811,-21.09,0
"WBGene00006432","atrn-1","WAGO",1392.2,1343.625,232.013,167.865,-6.888,0
"WBGene00195730","WBGene00195730","unk",9.281,14.086,524.432,461.099,41.899,0
"WBGene00001480","fmo-5","WAGO",881.727,878.795,108.456,87.12,-9.062,0
"WBGene00008980","emre-1","unk",4.219,14.086,496.975,574.78,57.684,0
"WBGene00008695","WBGene00008695","WAGO",759.382,857.666,6.864,9.562,-96.637,0
"WBGene00010869","WBGene00010869","unk",739.132,683.942,60.406,44.622,-13.701,0
"WBGene00019071","WBGene00019071","WAGO",7299.348,7042.098,20739.773,21025.671,2.912,0
"WBGene00011399","WBGene00011399","WAGO",735.757,687.072,52.169,60.559,-12.552,0
"WBGene00044655","fbxa-194","WAGO",303.753,280.15,1433.264,1562.848,5.135,0
"WBGene00048992","Y73F8A.335","piRNA",660.662,819.322,9.61,10.624,-72.756,0
"WBGene00169067","Y73F8A.755","piRNA",660.662,819.322,9.61,10.624,-72.756,0
"WBGene00018383","WBGene00018383","WAGO",914.633,860.797,5.491,8.5,-123.771,0
"WBGene00015238","mppe-1","unk",936.571,805.236,97.473,76.496,-10.085,0
"WBGene00001680","gpb-2","WAGO",615.099,682.377,13.729,11.687,-51.5,0
"WBGene00009233","WBGene00009233","WAGO",888.477,885.838,113.947,91.37,-8.698,0
"WBGene00010311","WBGene00010311","WAGO",739.132,752.806,13.729,5.312,-82.482,0
"WBGene00021015","enu-3.3","unk",9247.584,8093.052,2583.72,2541.355,-3.384,0
"WBGene00047775","R05A10.30","piRNA",668.256,924.182,13.729,6.375,-82.528,0
"WBGene00049168","R05A10.49","piRNA",668.256,924.182,13.729,6.375,-82.528,0
"WBGene00009442","WBGene00009442","WAGO",824.351,847.493,98.846,92.432,-8.759,0
"WBGene00046361","Y57G11A.16","piRNA",664.881,654.205,15.101,8.5,-57.647,0
"WBGene00168770","Y57G11A.144","piRNA",664.881,654.205,15.101,8.5,-57.647,0
"WBGene00004893","sms-2","WAGO",657.287,563.43,27.457,25.499,-23.124,0
"WBGene00012798","WBGene00012798","WAGO",2650.243,2675.512,8194.592,8059.664,3.052,0
"WBGene00044482","WBGene00044482","WAGO",622.693,599.427,13.729,14.874,-42.547,0
"WBGene00017533","fbxa-178","WAGO",657.287,687.855,15.101,7.437,-61.998,0
"WBGene00047701","R05A10.29","piRNA",587.255,777.064,12.356,12.749,-54.271,0
"WBGene00170196","R05A10.88","piRNA",587.255,777.064,12.356,12.749,-54.271,0
"WBGene00171606","R05A10.95","piRNA",587.255,777.064,12.356,12.749,-54.271,0
"WBGene00001215","ego-2","unk",6298.651,6056.877,1872.579,1959.138,-3.224,0
"WBGene00047616","C11D2.27","piRNA",637.881,564.996,13.729,21.249,-33.671,0
"WBGene00021001","WBGene00021001","WAGO",610.037,574.386,28.83,28.686,-20.596,0
"WBGene00050429","Y57G11A.80","piRNA",577.974,674.551,27.457,12.749,-32.281,0
"WBGene00009697","WBGene00009697","WAGO",833.633,776.282,68.643,90.307,-10.041,0
"WBGene00010780","WBGene00010780","WAGO",950.071,953.919,137.286,114.743,-7.592,0
"WBGene00021345","WBGene00021345","WAGO",605.818,569.691,27.457,27.623,-21.334,0
"WBGene00012563","WBGene00012563","WAGO",2846.838,2676.295,8511.722,8440.017,3.069,0
"WBGene00044268","WBGene00044268","WAGO",4321.727,4775.073,71.389,38.248,-83.712,0
"WBGene00008922","WBGene00008922","WAGO",587.255,665.943,16.474,33.998,-24.097,0
"WBGene00003523","nas-4","WAGO",572.068,605.688,12.356,22.311,-33.04,0
"WBGene00009788","WBGene00009788","WAGO",22630.425,20420.441,307.52,165.741,-91.159,0
"WBGene00049117","Y40H7A.106","piRNA",664.881,701.158,13.729,6.375,-70.846,0
"WBGene00173120","Y40H7A.281","piRNA",664.881,701.158,13.729,6.375,-70.846,0
"WBGene00018204","WBGene00018204","ERGO",2526.21,3001.05,657.599,614.09,-4.35,0
"WBGene00004778","ser-3","WAGO",585.568,647.945,10.983,13.812,-49.158,0
"WBGene00048398","Y105C5B.342","piRNA",658.975,789.585,12.356,6.375,-80.22,0
"WBGene00044249","WBGene00044249","WAGO",2630.836,2525.264,682.311,621.527,-3.959,0
"WBGene00048242","Y105C5B.322","piRNA",748.413,961.744,10.983,4.25,-118.298,0
"WBGene00015819","fbxc-44","WAGO",642.943,602.558,42.559,42.498,-14.643,0
"WBGene00048764","C27H2.35","piRNA",743.351,765.326,9.61,6.375,-96.643,0
"WBGene00168781","C27H2.79","piRNA",743.351,765.326,9.61,6.375,-96.643,0
"WBGene00018309","WBGene00018309","WAGO",69.188,48.518,664.463,650.213,11.2,0
"WBGene00017080","lec-12","WAGO",1372.794,1245.807,232.013,174.24,-6.484,0
"WBGene00046749","F55B11.18","piRNA",669.944,572.038,12.356,11.687,-51.802,0
"WBGene00235163","WBGene00235163","unk",624.381,562.648,9.61,16.999,-43.353,0
"WBGene00013894","WBGene00013894","ALG",869.07,805.236,71.389,101.994,-9.555,0
"WBGene00001934","his-60","histone",506.255,486.741,2244.624,1974.012,4.247,0
"WBGene00050900","WBGene00050900","unk",102.095,71.994,757.818,836.14,9.182,0
"WBGene00012107","WBGene00012107","WAGO",9981.653,9828.731,2876.138,3295.686,-3.208,0
"WBGene00017698","WBGene00017698","WAGO",660.662,587.689,10.983,10.624,-57.871,0
"WBGene00166763","Y105C5B.747","piRNA",671.631,717.591,9.61,7.437,-82.699,0
"WBGene00169765","Y105C5B.988","piRNA",671.631,717.591,9.61,7.437,-82.699,0
"WBGene00169878","Y105C5B.997","piRNA",671.631,717.591,9.61,7.437,-82.699,0
"WBGene00174503","Y105C5B.1372","piRNA",671.631,717.591,9.61,7.437,-82.699,0
"WBGene00019498","WBGene00019498","CSR",453.098,331.798,2022.221,2104.692,5.263,0
